Time (real),IR Value raw,IR Value filtered,Time (s),Label
4/18/2025 13:45,126188,-1195,18.86013269,0
4/18/2025 13:45,125273,-1978,18.89968419,0
4/18/2025 13:45,125158,-1962,18.93962574,0
4/18/2025 13:45,125383,-1629,18.97992277,0
4/18/2025 13:45,125894,-1048,19.0200336,0
4/18/2025 13:45,126488,-425,19.06032062,0
4/18/2025 13:45,126676,-222,19.09968352,0
4/18/2025 13:45,126815,-78,19.13957691,0
4/18/2025 13:45,127047,144,19.179492,0
4/18/2025 13:45,127200,279,19.22018695,0
4/18/2025 13:45,127440,486,19.259655,0
4/18/2025 13:45,127624,628,19.3000145,0
4/18/2025 13:45,127731,689,19.33977437,0
4/18/2025 13:45,127779,691,19.37974262,0
4/18/2025 13:45,127657,534,19.42016244,0
4/18/2025 13:45,126162,-901,19.45973039,0
4/18/2025 13:45,124606,-2303,19.49954081,0
4/18/2025 13:45,124532,-2229,19.539639,0
4/18/2025 13:45,124997,-1654,19.58018112,0
4/18/2025 13:45,125399,-1173,19.61948586,0
4/18/2025 13:45,126021,-517,19.65953636,0
4/18/2025 13:45,126676,130,19.69953275,0
4/18/2025 13:45,126982,408,19.74007201,0
4/18/2025 13:45,127175,564,19.78006625,0
4/18/2025 13:45,127376,717,19.81983829,0
4/18/2025 13:45,127547,833,19.8602066,0
4/18/2025 13:45,127644,872,19.89978027,0
4/18/2025 13:45,127704,873,19.9394536,0
4/18/2025 13:45,127793,902,19.98990107,0
4/18/2025 13:45,127845,895,20.03004169,0
4/18/2025 13:45,127772,770,20.06964707,0
4/18/2025 13:45,126770,-217,20.10963941,0
4/18/2025 13:45,125629,-1273,20.14989591,0
4/18/2025 13:45,125525,-1291,20.1902523,0
4/18/2025 13:45,125926,-835,20.22991729,0
4/18/2025 13:45,126411,-328,20.26947165,0
4/18/2025 13:45,126918,168,20.30985522,0
4/18/2025 13:45,127177,401,20.34942865,0
4/18/2025 13:45,127215,411,20.39002919,0
4/18/2025 13:45,127327,490,20.42956114,0
4/18/2025 13:45,127476,600,20.4702158,0
4/18/2025 13:45,127616,693,20.50940084,0
4/18/2025 13:45,127759,784,20.55001307,0
4/18/2025 13:45,127888,856,20.59009814,0
4/18/2025 13:45,127987,895,20.62960219,0
4/18/2025 13:45,128028,878,20.67030382,0
4/18/2025 13:45,127895,698,20.70958233,0
4/18/2025 13:45,126517,-637,20.75040174,0
4/18/2025 13:45,125413,-1632,20.79028773,0
4/18/2025 13:45,125360,-1580,20.82949185,0
4/18/2025 13:45,125748,-1117,20.86999917,0
4/18/2025 13:45,126217,-608,20.91028738,0
4/18/2025 13:45,126856,29,20.95012975,0
4/18/2025 13:45,127180,331,20.98950458,0
4/18/2025 13:45,127252,378,21.02990294,0
4/18/2025 13:45,127354,450,21.0700624,0
4/18/2025 13:45,127534,591,21.10971713,0
4/18/2025 13:45,127677,688,21.15024734,0
4/18/2025 13:45,127796,757,21.1895144,0
4/18/2025 13:45,127852,762,21.22992229,0
4/18/2025 13:45,127925,783,21.27014899,0
4/18/2025 13:45,127830,645,21.30972886,0
4/18/2025 13:45,126417,-720,21.35013461,0
4/18/2025 13:45,124969,-2033,21.3899262,0
4/18/2025 13:45,124819,-2046,21.43012738,0
4/18/2025 13:45,125481,-1298,21.46955299,0
4/18/2025 13:45,126038,-694,21.51006103,0
4/18/2025 13:45,126514,-205,21.55029464,0
4/18/2025 13:45,126483,-221,21.59002829,0
4/18/2025 13:45,126194,-478,21.63014388,0
4/18/2025 13:45,125993,-637,21.67034554,0
4/18/2025 13:45,126444,-174,21.71020508,0
4/18/2025 13:45,127001,359,21.74993062,0
4/18/2025 13:45,127248,568,21.79007387,0
4/18/2025 13:45,127369,646,21.82958794,0
4/18/2025 13:45,127557,782,21.87012386,0
4/18/2025 13:45,127672,841,21.90966487,0
4/18/2025 13:45,126572,-243,21.95028591,0
4/18/2025 13:45,124483,-2186,21.9902482,0
4/18/2025 13:45,123614,-2864,22.02959585,0
4/18/2025 13:45,123751,-2557,22.06996131,0
4/18/2025 13:45,124053,-2114,22.11002493,0
4/18/2025 13:45,124781,-1299,22.14996934,0
4/18/2025 13:45,125564,-484,22.18966413,0
4/18/2025 13:45,125696,-330,22.23029375,0
4/18/2025 13:45,125875,-141,22.26984739,0
4/18/2025 13:45,126208,180,22.30985403,0
4/18/2025 13:45,126540,480,22.34998274,0
4/18/2025 13:45,126839,730,22.40036058,0
4/18/2025 13:45,127170,995,22.44000983,0
4/18/2025 13:45,127451,1196,22.47994328,0
4/18/2025 13:45,127616,1276,22.5201304,0
4/18/2025 13:45,127650,1228,22.56041026,0
4/18/2025 13:45,126366,-52,22.60032821,0
4/18/2025 13:45,124209,-2071,22.63979697,0
4/18/2025 13:45,123769,-2354,22.67980075,0
